COF,absIC
Lights-->Level1Z1:Zone51 General lighting-->Lighting Level,0.001495955
ZoneInfiltration:DesignFlowRate-->Level0:Zone36 Infiltration-->Design Flow Rate,0.00147873
Lights-->Level0:Zone28 General lighting-->Lighting Level,0.001476215
Material-->MW Stone Wool (rolls)_0.1439-->Solar Absorptance,0.001461748
People-->People Level2:Zone29-->Fraction Radiant,0.001457583
Lights-->Level2:Zone26 General lighting-->Lighting Level,0.00144861
Lights-->Level0:Zone23 General lighting-->Fraction Radiant,0.001446528
ElectricEquipment-->Level0:Zone27 Equipment 1-->Design Level,0.001425913
ElectricEquipment-->Level1Z1:Zone9 Equipment 2-->Design Level,0.001424002
ElectricEquipment-->Level1Z1:Zone9 Computing gain 1-->Design Level,0.001424002
WaterUse:Equipment-->DHW Level2:Zone4-->Peak Flow Rate,0.00142068
DesignSpecification:OutdoorAir-->Level0:Zone22-->Outdoor Air Flow Air Changes per Hour,0.001415809
DesignSpecification:OutdoorAir-->Level1Z1:Zone8-->Outdoor Air Flow Air Changes per Hour,0.001415809
DesignSpecification:OutdoorAir-->Level1Z1:Zone10-->Outdoor Air Flow Air Changes per Hour,0.001410887
DesignSpecification:OutdoorAir-->Level1Z1:Zone1-->Outdoor Air Flow Air Changes per Hour,0.001407606
ZoneInfiltration:DesignFlowRate-->Level1Z1:Zone47 Infiltration-->Design Flow Rate,0.001405047
ZoneInfiltration:DesignFlowRate-->Level0:Zone33 Infiltration-->Design Flow Rate,0.001403275
ElectricEquipment-->Level1Z1:Zone51 Equipment 1-->Fraction Radiant,0.001399153
DesignSpecification:OutdoorAir-->Level0:Zone1-->Outdoor Air Flow Air Changes per Hour,0.001396122
ZoneInfiltration:DesignFlowRate-->Level0:Zone7 Infiltration-->Design Flow Rate,0.001391463
DesignSpecification:OutdoorAir-->Level1Z1:Zone6-->Outdoor Air Flow Air Changes per Hour,0.001386279
WaterUse:Equipment-->DHW Level2:Zone7-->Peak Flow Rate,0.001383026
DesignSpecification:OutdoorAir-->Level1Z1:Zone38-->Outdoor Air Flow Air Changes per Hour,0.001382998
Lights-->Level1:Zone14 General lighting-->Fraction Radiant,0.001382572
People-->People Level2:Zone35-->Fraction Radiant,0.001380992
Material-->Plywood (Heavyweight)_0.006-->Thermal Absorptance,0.001380473
DesignSpecification:OutdoorAir-->Level1Z1:Zone39-->Outdoor Air Flow Air Changes per Hour,0.001378076
DesignSpecification:OutdoorAir-->Level1Z1:Zone5-->Outdoor Air Flow Air Changes per Hour,0.001373154
Lights-->Level1AddedPart:Zone13 General lighting-->Fraction Radiant,0.001370728
Material-->Standard insulation_0.0096-->Solar Absorptance,0.001370502
WaterUse:Equipment-->DHW Level2:Zone5-->Peak Flow Rate,0.001356491
WaterUse:Equipment-->DHW Level1:Zone15-->Peak Flow Rate,0.00135542
People-->People Level0:Zone28-->Number of People,0.001345878
Lights-->Level0:Zone33 General lighting-->Lighting Level,0.001316966
People-->People Level0:Zone31-->Number of People,0.001304384
DesignSpecification:OutdoorAir-->Level1Z1:Zone13-->Outdoor Air Flow Air Changes per Hour,0.001300969
WaterUse:Equipment-->DHW Level2:Zone3-->Peak Flow Rate,0.001292093
DesignSpecification:OutdoorAir-->Level1Z1:Zone43-->Outdoor Air Flow Air Changes per Hour,0.001289485
DesignSpecification:OutdoorAir-->Level0:Zone23-->Outdoor Air Flow Air Changes per Hour,0.001281282
Lights-->Level1Z1:Zone37 General lighting-->Lighting Level,0.001274915
ZoneInfiltration:DesignFlowRate-->Level1Z1:Zone37 Infiltration-->Design Flow Rate,0.001271901
ZoneInfiltration:DesignFlowRate-->Level0AddedPart:Zone2 Infiltration-->Design Flow Rate,0.001252553
Lights-->Level0:Zone25 General lighting-->Fraction Radiant,0.001246762
ZoneInfiltration:DesignFlowRate-->Level0:Zone45 Infiltration-->Design Flow Rate,0.001244237
Lights-->Level0:Zone36 General lighting-->Lighting Level,0.001239535
Lights-->Level0:Zone2 General lighting-->Fraction Radiant,0.001234918
People-->People Level1Z1:Zone36-->Number of People,0.001234892
People-->People Level0:Zone26-->Number of People,0.001218023
WaterUse:Equipment-->DHW Level1Z1:Zone38-->Peak Flow Rate,0.001216381
Lights-->Level1:Zone7 General lighting-->Fraction Visible,0.001213599
Lights-->Level1Z1:Zone44 General lighting-->Lighting Level,0.001213185
WaterUse:Equipment-->DHW Level0:Zone1-->Peak Flow Rate,0.001196535
ZoneInfiltration:DesignFlowRate-->Level0:Zone11 Infiltration-->Design Flow Rate,0.001194059
DesignSpecification:OutdoorAir-->Level0:Zone30-->Outdoor Air Flow Air Changes per Hour,0.001191051
ZoneInfiltration:DesignFlowRate-->Level1:Zone6 Infiltration-->Design Flow Rate,0.001187823
People-->People Level1Z1:Zone47-->Number of People,0.001179802
DesignSpecification:OutdoorAir-->Level0:Zone29-->Outdoor Air Flow Air Changes per Hour,0.001173005
WaterUse:Equipment-->DHW Level2:Zone18-->Peak Flow Rate,0.001169876
DesignSpecification:OutdoorAir-->Level0:Zone25-->Outdoor Air Flow Air Changes per Hour,0.001168083
WaterUse:Equipment-->DHW Level0:Zone4-->Peak Flow Rate,0.001158796
ZoneInfiltration:DesignFlowRate-->Level2:Zone34 Infiltration-->Design Flow Rate,0.001150874
WaterUse:Equipment-->DHW Level2:Zone1-->Peak Flow Rate,0.001143217
Lights-->Level2:Zone37 General lighting-->Lighting Level,0.001140443
DesignSpecification:OutdoorAir-->Level0:Zone20-->Outdoor Air Flow Air Changes per Hour,0.001138553
Lights-->Level1Z1:Zone28 General lighting-->Lighting Level,0.001138522
ZoneInfiltration:DesignFlowRate-->Level1Z1:Zone9 Infiltration-->Design Flow Rate,0.001134668
People-->People Level0:Zone7-->Number of People,0.001134179
Lights-->Level1Z1:Zone45 General lighting-->Lighting Level,0.001130641
ZoneInfiltration:DesignFlowRate-->Level2:Zone26 Infiltration-->Design Flow Rate,0.00113018
Lights-->Level0:Zone8 General lighting-->Fraction Radiant,0.001128324
People-->People Level0:Zone11-->Number of People,0.001109756
Lights-->Level2:Zone30 General lighting-->Lighting Level,0.001107241
WaterUse:Equipment-->DHW Level0:Zone9-->Peak Flow Rate,0.001105478
People-->People Level2:Zone25-->Number of People,0.001092031
People-->People Level0:Zone33-->Number of People,0.001086844
WaterUse:Equipment-->DHW Level1Z1:Zone43-->Peak Flow Rate,0.00108023
WaterUse:Equipment-->DHW Level0:Zone38-->Peak Flow Rate,0.001078903
WaterUse:Equipment-->DHW Level0:Zone21-->Peak Flow Rate,0.001078903
DesignSpecification:OutdoorAir-->Level0:Zone2-->Outdoor Air Flow Air Changes per Hour,0.001077852
DesignSpecification:OutdoorAir-->Level1:Zone15-->Outdoor Air Flow Air Changes per Hour,0.001069649
Lights-->Level1:Zone4 General lighting-->Lighting Level,0.001063965
DesignSpecification:OutdoorAir-->Level0:Zone8-->Outdoor Air Flow Air Changes per Hour,0.001061446
DesignSpecification:OutdoorAir-->Level1AddedPart:Zone3-->Outdoor Air Flow Air Changes per Hour,0.001046681
ElectricEquipment-->Level0:Zone36 Equipment 1-->Design Level,0.0010442
People-->People Level2:Zone34-->Number of People,0.001042077
Lights-->Level1Z1:Zone7 General lighting-->Lighting Level,0.001037176
DesignSpecification:OutdoorAir-->Level1Z1:Zone11-->Outdoor Air Flow Air Changes per Hour,0.001036838
ElectricEquipment-->Level1AddedPart:Zone13 Equipment 2-->Fraction Radiant,0.001024098
ElectricEquipment-->Level1AddedPart:Zone13 Computing gain 1-->Fraction Radiant,0.001024098
WaterUse:Equipment-->DHW Level0:Zone13-->Peak Flow Rate,0.001021085
People-->People Level0:Zone49-->Number of People,0.001013424
Lights-->Level0:Zone53 General lighting-->Fraction Radiant,0.001007516
Lights-->Level1:Zone11 General lighting-->Lighting Level,0.001002567
